anonymous_user,active_days,total_messages,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,all_tokens,claude_opus_4_7_standard_with_cache_usd,claude_opus_4_7_batch_with_cache_usd,claude_opus_4_7_no_cache_equivalent_usd,claude_opus_4_7_estimated_cache_savings_usd,claude_sonnet_4_6_standard_with_cache_usd,claude_sonnet_4_6_batch_with_cache_usd,claude_sonnet_4_6_no_cache_equivalent_usd,claude_sonnet_4_6_estimated_cache_savings_usd,claude_haiku_4_5_standard_with_cache_usd,claude_haiku_4_5_batch_with_cache_usd,claude_haiku_4_5_no_cache_equivalent_usd,claude_haiku_4_5_estimated_cache_savings_usd
user_03,74,114422,13175691,260722294,5756770042,11774103,6042442130,4868.1303885,2434.06519425,30447.69271,25579.5623215,2920.8782331,1460.43911655,18268.615626,15347.737392899999,973.6260777,486.81303885,6089.538541999999,5115.9124643
user_09,41,0,1693461,172138487,5364757058,17853121,5556442127,4213.03940275,2106.519701375,28139.273054999998,23926.233652249997,2527.82364165,1263.911820825,16883.563833,14355.74019135,842.6078805500001,421.30394027500006,5627.854611,4785.24673045
user_10,44,0,1328486,210060852,4608390359,6864050,4826643747,3795.3191845000006,1897.6595922500003,24270.499735,20475.1805505,2277.1915107000004,1138.5957553500002,14562.299841,12285.1083303,759.0638369000001,379.53191845000003,4854.099947,4095.0361101
user_07,37,6911,2120906,129998407,4939622589,19005481,5090747383,3768.04289325,1884.021446625,25833.846535,22065.80364175,2260.8257359500003,1130.4128679750002,15500.307921,13239.48218505,753.60857865,376.804289325,5166.769307,4413.16072835
user_05,32,2041,67284,72142898,2479322611,14609189,2566141982,2056.120563,1028.0602815,13122.893689999999,11066.773126999999,1233.6723378,616.8361689,7873.7362140000005,6640.063876200001,411.22411260000007,205.61205630000003,2624.5787379999997,2213.3546254
user_11,20,0,443849,71125578,2330770113,5908230,2408247770,1759.844914,879.922457,12159.40345,10399.558536,1055.9069484,527.9534742,7295.64207,6239.7351216,351.96898280000005,175.98449140000002,2431.88069,2079.9117072
user_01,54,64390,2847565,110227375,1765233669,6578745,1884887354,1750.24437825,875.122189125,9556.01167,7805.76729175,1050.14662695,525.073313475,5733.607002,4683.46037505,350.04887565,175.024437825,1911.2023339999998,1561.1534583499997
user_08,67,8753,822275,65414868,598490464,1264113,665991720,743.802357,371.9011785,3355.24086,2611.438503,446.28141420000003,223.14070710000001,2013.144516,1566.8631018,148.7604714,74.3802357,671.048172,522.2877006
user_12,33,2396,1430095,33168343,610333583,3570877,648502898,608.89133525,304.445667625,3313.93203,2705.04069475,365.33480115000003,182.66740057500002,1988.359218,1623.02441685,121.77826705000001,60.889133525000005,662.7864059999999,541.0081389499999
user_06,36,24382,455464,18494499,128390389,603984,147944336,197.16273325000003,98.58136662500002,751.80136,554.63862675,118.29763995,59.148819975,451.08081599999997,332.78317604999995,39.43254665,19.716273325,150.360272,110.92772535
user_04,7,0,1137,8393332,176978114,1089177,186461760,168.182492,84.091246,954.09234,785.909848,100.9094952,50.4547476,572.455404,471.54590880000006,33.6364984,16.8182492,190.818468,157.1819696
user_02,14,2041,1021,905492,8901879,70433,9878825,11.8761945,5.93809725,50.802785,38.9265905,7.1257167,3.56285835,30.481671,23.3559543,2.3752389,1.18761945,10.160556999999999,7.7853181
user_13,14,2041,994,901788,8473010,68214,9444006,11.582999999999998,5.791499999999999,48.58431,37.001310000000004,6.9498,3.4749,29.150586,22.200786,2.3166,1.1583,9.716862,7.400262000000001
